game_id,series_id,map_name,team_id,team_name,composition,duelist_count,controller_count,sentinel_count,initiator_count
823775b0-c7f5-4ee1-bfe1-eca9eb05bf86,2775972,haven,96,G2 Esports,"astra,yoru,breach,tejo,vyse",1,1,1,2
acdef2ec-c074-4c19-b01e-31c90ee877c2,2775976,icebox,81,MIBR (1),"harbor,viper,jett,sova,killjoy",1,2,1,1
a657c3e0-4dfd-409e-86fd-bd0fefa20044,2681846,haven,48457,KRÜ Esports,"omen,neon,breach,sova,cypher",1,1,1,2
907b74f9-fa87-4a3f-8add-ebb3e33f4291,2681829,split,48457,KRÜ Esports,"omen,viper,raze,skye,cypher",1,2,1,1
ce934f59-12e5-4be1-af6c-21fb4bd6ad61,2681832,ascent,79,Cloud9,"omen,jett,kay/o,sova,killjoy",1,1,1,2
3c4b2006-e081-4efb-af65-789495c4fa88,2843062,icebox,1079,Sentinels,"viper,jett,sova,killjoy,sage",1,1,2,1
df98c550-e20c-499d-b814-d4d32ef5ec9a,2819676,haven,79,Cloud9,"omen,viper,jett,skye,killjoy",1,2,1,1
9c95a847-ca63-4511-96f7-abbd348c0d9f,2819681,lotus,1079,Sentinels,"omen,viper,raze,fade,vyse",1,2,1,1
bcf8a377-5f93-4a0b-b0a3-31d00ed9d70d,2819682,ascent,53367,2GAME eSports,"omen,jett,kay/o,sova,cypher",1,1,1,2
62c2f358-4bcc-4073-bad2-b06d19ebb3ed,2819680,bind,337,100 Thieves,"brimstone,viper,raze,yoru,fade",2,2,0,1
f175545b-6d0a-4c7d-8779-987c4cdaa4f5,2819687,sunset,81,MIBR (1),"omen,raze,yoru,sova,cypher",2,1,1,1
01080eed-aa6f-4ff0-9d1b-70ffa4d9cd44,2819691,bind,337,100 Thieves,"brimstone,viper,raze,yoru,fade",2,2,0,1
aa0c9c87-07d0-4b5d-b121-c53539ef9200,2819695,bind,81,MIBR (1),"brimstone,viper,raze,yoru,fade",2,2,0,1
7331feef-35e0-47e9-a06e-6ae3a99eee20,2819700,haven,97,NRG,"omen,viper,neon,sova,killjoy",1,2,1,1
4a219f17-c477-448a-ad7b-4f77ab033c9c,2629391,lotus,79,Cloud9,"omen,raze,fade,gekko,killjoy",1,1,1,2
2cd86d08-a06b-4c0f-b749-a0f2964a68ce,2629395,split,99,FURIA,"astra,viper,jett,raze,skye",2,2,0,1
02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,2629392,ascent,1079,Sentinels,"omen,jett,kay/o,sova,killjoy",1,1,1,2
b1185c74-f70d-413f-a941-9240e9708890,2629393,split,337,100 Thieves,"astra,viper,raze,fade,gekko",1,2,0,2
