team_id,map_name,side,win_type,count,percentage
79,fracture,defender,opponentEliminated,6,16.7
81,haven,defender,bombDefused,15,25.4
81,haven,attacker,opponentEliminated,21,35.6
81,haven,defender,opponentEliminated,12,20.3
81,haven,attacker,bombExploded,11,18.6
96,lotus,attacker,opponentEliminated,62,32.5
96,lotus,defender,opponentEliminated,45,23.6
96,lotus,defender,bombDefused,49,25.7
96,lotus,attacker,bombExploded,27,14.1
96,lotus,defender,timeExpired,8,4.2
96,pearl,defender,timeExpired,1,1.1
96,pearl,defender,bombDefused,20,22.2
96,pearl,attacker,opponentEliminated,44,48.9
96,pearl,attacker,bombExploded,7,7.8
96,pearl,defender,opponentEliminated,18,20.0
99,split,attacker,bombExploded,7,28.0
99,split,defender,opponentEliminated,10,40.0
99,split,defender,bombDefused,2,8.0
99,split,attacker,opponentEliminated,6,24.0
1079,breeze,attacker,opponentEliminated,5,55.6
1079,breeze,attacker,bombExploded,1,11.1
1079,breeze,defender,bombDefused,3,33.3
1611,sunset,defender,opponentEliminated,30,26.5
1611,sunset,defender,bombDefused,23,20.4
1611,sunset,attacker,bombExploded,12,10.6
1611,sunset,defender,timeExpired,1,0.9
1611,sunset,attacker,opponentEliminated,47,41.6
281,split,defender,timeExpired,2,5.6
281,split,defender,opponentEliminated,12,33.3
281,split,attacker,bombExploded,4,11.1
281,split,defender,bombDefused,9,25.0
281,split,attacker,opponentEliminated,9,25.0
337,icebox,defender,opponentEliminated,33,30.6
337,icebox,defender,bombDefused,17,15.7
337,icebox,attacker,opponentEliminated,39,36.1
337,icebox,attacker,bombExploded,12,11.1
337,icebox,defender,timeExpired,7,6.5
3412,lotus,attacker,opponentEliminated,22,32.4
3412,lotus,defender,opponentEliminated,16,23.5
3412,lotus,defender,timeExpired,3,4.4
3412,lotus,attacker,bombExploded,9,13.2
3412,lotus,defender,bombDefused,18,26.5
3412,pearl,attacker,opponentEliminated,12,48.0
3412,pearl,defender,bombDefused,7,28.0
3412,pearl,defender,timeExpired,1,4.0
3412,pearl,defender,opponentEliminated,5,20.0
