player_id,player_name,agent,agent_role,games_played,total_kills,total_deaths,kd_ratio,total_headshots
272,tuyz,gekko,Initiator,5,73,72,1.01,52
32038,Palla,raze,Duelist,4,55,74,0.74,41
2837,artziN,viper,Controller,2,32,31,1.03,27
28,Less,omen,Controller,1,13,15,0.87,11
45,liazzi,raze,Duelist,1,13,16,0.81,11
291,crashies,fade,Initiator,1,16,16,1.0,11
709,BABYBAY,chamber,Sentinel,3,54,41,1.32,25
10612,v1c,iso,Duelist,1,12,13,0.92,10
312,skuba,viper,Controller,10,163,133,1.23,111
32038,Palla,neon,Duelist,2,22,34,0.65,20
77,keznitdeuS,omen,Controller,2,23,28,0.82,25
74,Mazino,viper,Controller,3,26,42,0.62,22
